pubdate,PMID,title,abstract
2013,23827652,Sulfur mustard induced nuclear translocation of glyceraldehyde-3-phosphate-dehydrogenase (GAPDH).,"Sulfur Mustard (SM) is a vesicant chemical warfare agent, which is acutely toxic to a variety of organ systems including skin, eyes, respiratory system and bone marrow. The underlying molecular pathomechanism was mainly attributed to the alkylating properties of SM. However, recent studies have revealed that cellular responses to SM exposure are of more complex nature and include increased protein expression and protein modifications that can be used as biomarkers. In order to confirm already known biomarkers, to detect potential new ones and to further elucidate the pathomechanism of SM, we conducted large-scale proteomic experiments based on a human keratinocyte cell line (HaCaT) exposed to SM. Surprisingly, our analysis identified glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) as one of the up-regulated proteins after exposure of HaCaT cells to SM. In this paper we demonstrate the sulfur mustard induced nuclear translocation of GAPDH in HaCaT cells by 2D gel-electrophoresis (2D GE), immunocytochemistry (ICC), Western Blot (WB) and a combination thereof. 2D GE in combination with MALDI-TOF MS/MS analysis identified GAPDH as an up-regulated protein after SM exposure. Immunocytochemistry revealed a distinct nuclear translocation of GAPDH after exposure to 300μM SM. This finding was confirmed by fractionated WB analysis. 2D GE and subsequent immunoblot staining of GAPDH demonstrated two different spot locations of GAPH (pI 7.0 and pI 8.5) that are related to cytosolic or nuclear GAPDH respectively. After exposure to 300μM SM a significant increase of nuclear GAPDH at pI 8.5 occurred. Nuclear GAPDH has been associated with apoptosis, detection of structural DNA alterations, DNA repair and regulation of genomic integrity and telomere structure. The results of our study add new aspects to the pathophysiology of sulfur mustard toxicity, yet further studies will be necessary to reveal the specific function of nuclear GAPDH in the pathomechanism of sulfur mustard. "
1999,10468856,Bone marrow effects of anagrelide therapy in patients with myelofibrosis with myeloid metaplasia.,"In a prospective study investigating the therapeutic role of anagrelide in myelofibrosis with myeloid metaplasia, 20 patients received anagrelide in daily oral doses of 0.5-3 mg. 17 patients were evaluable and received anagrelide for a median of 2 years (range 0.5-4 years). No patient had a clinically appreciable benefit. Bone marrow (BM) examinations at baseline and after 6 and 12 months of treatment were available for 17, 17 and 12 patients, respectively. In all evaluable cases, BM megakaryocyte number increased after 6 months of anagrelide treatment. Also, Ulex europaeus agglutinin-1 staining of megakaryocytes revealed a left-shifted maturation pattern in most patients with a platelet response to anagrelide. However, megakaryocyte staining intensity for transforming (TGF-beta) and platelet-derived (PDGF) growth factors was not affected consistently by treatment. No patient had a >/=2 grade change in either BM fibrosis or osteosclerosis. These in-vivo data support our previous in-vitro observations that anagrelide interferes with megakaryocyte maturation rather than proliferation. Lack of a positive treatment effect is consistent with the finding that anagrelide did not significantly alter megakaryocyte expression of TGF-beta and PDGF."
2008,18175944,Long-term feeding of Ginkgo biloba extract impairs peripheral circulation and hepatic function in aged spontaneously hypertensive rats.,"We previously demonstrated that Ginkgo biloba extract (GBE) produces an anti-hypertensive effect via enhanced vasodilation responses in young spontaneously hypertensive rats (SHR) and hepatic hypertrophy occurs with increased cytochrome P450 (CYP) mRNA expression in young rats. In the present study, to clarify whether these actions of GBE are observed in older rats, we investigated cardiovascular functions and hepatic CYP protein expressions in aged SHR fed a control diet or a diet containing 0.5% GBE for 4 weeks. In aged SHR, GBE feeding significantly increased liver weight per 100 g body weight without changing the body weight. Furthermore, significant increases in alanine aminotransferase level in serum and marked increase in CYP2B protein expression in the liver were observed in aged SHR fed GBE. On the other hand, GBE feeding did not affect blood pressure, but significantly reduced heart rate and blood flow velocity in tail arteries of aged SHR. Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR. These results suggested that long-term GBE feeding impairs peripheral circulation due to bradycardia and hepatic function in aged SHR. Thus, in the elderly population with hypertension, the use of GBE may need to be assessed for effects on heart rate and liver function."
2018,30102890,Influence of the periprostatic adipose tissue in obesity-associated mouse urethral dysfunction and oxidative stress: Effect of resveratrol treatment.,"Obese mice display overactive bladder (OAB) associated with impaired urethra smooth muscle (USM) function. In this study, we evaluated the role of the adipose tissue surrounding the urethra and prostate in obese mice (here referred as periprostatic adipose tissue; PPAT) to the USM dysfunction. Male C57BL6/JUnib mice fed with either a standard-chow or high-fat diet to induce obesity were used. In PPAT, histological analysis, and qPCR analysis for gp91phox, tumor necrosis factor-α (TNF-α) and superoxide dismutase (SOD) were conducted. In USM, concentration-response curves to contractile and relaxing agents, as well as measurements of reactive-oxygen species and nitric oxide (NO) levels were performed. The higher PPAT area in obese mice was accompanied by augmented gp91phox (NOX2) and TNF-α expressions, together with decreased SOD1 expression. In USM of obese group, the contractile responses to phenylephrine and vasopressin were increased, whereas the relaxations induced with glyceryl trinitrate were reduced. The reactive-oxygen species and NO levels in USM of obese mice were increased and decreased, respectively. A higher SOD expression was also detected in obese group whilst no changes in the gp91phox levels were observed. We next evaluated the effects of the antioxidant resveratrol (100 mg/kg/day, two-weeks, PO) in the functional alterations and NO levels of obese mice. Resveratrol treatment in obese mice reversed both the functional USM dysfunction and the reduced NO production. Our data show that PPAT exerts a local inflammatory response and increases oxidative stress that lead to urethral dysfunction. Resveratrol could be an auxiliary option to prevent obesity-associated urethral dysfunction."
2018,29146334,Impact of fluorescent lighting on the browning potential of model wine solutions containing organic acids and iron.,"Model wine solutions containing organic acids, individually or combined, and iron(III), were exposed to light from fluorescent lamps or stored in darkness for four hours. (-)-Epicatechin was then added, and the solutions incubated in darkness for 10days. Browning was monitored by UV-visible absorption spectrophotometry and UHPLC-DAD. The pre-irradiated solutions containing tartaric acid exhibited increased yellow/brown coloration compared to the dark controls mainly due to reaction of the tartaric acid photodegradation product glyoxylic acid with (-)-epicatechin to form xanthylium cation pigments. In these solutions, browning decreased as the concentrations of organic acids other than tartaric acid increased. Xanthylium cations were also detected in the pre-irradiated malic acid solution. However, in the malic acid, succinic acid, citric acid and lactic acid solutions, any coloration was mainly due to the production of dehydrodiepicatechin A, which was largely independent of prior light exposure, but strongly affected by the organic acid present."
2013,23962855,Blood and milk oxidative status after administration of different antioxidants during early postpartum in dairy cows.,"This paper describes serum and milk oxidative profiles during early postpartum (10th-16th day) of dairy cows, after three different treatments: β-carotene and α-tocopherol (Dalmavital®, Fatro, Italy) (VAE Group); L-carnitine, d, L-acetylmethionine, cyanocobalamin (Adiuxan®, Ceva Vetem, Italy) (LCAR Group) and Dalmavital®+Adiuxan® (VAE/LCAR Group). Antioxidant administrations resulted in a general reduction in ROS concentrations which decreased more after a single drug administration (VAE and LCAR Groups) vitamin A and E serum levels increased in the three treated groups compared to control one (p < 0.05). Milk lipoperoxide content was statistically lower in treated cows than in control ones, whereas, as to vitamins, only vitamin E increased in all the treated groups compared to control. Taken together, the results of this study confirm the efficacy of antioxidant administration in the early postpartum of dairy cows and suggest that an excess in antioxidant administration may result, paradoxically, in an increase in ROS generation."
2013,23483426,Zinc and copper levels in Iranian patients with psoriasis: a case control study.,"Zinc and copper are important cofactors and modulators of many critical biological functions in many dermatological diseases including psoriasis. Studies must be performed in different societies to organize a governmental health organization nutritional program. Due to the lack of information related to these trace elements in Iranian psoriasis patients, the aim of this observational case-control study was to compare the serum zinc and copper levels and the zinc/copper ratio in psoriatic patients and healthy volunteers in Northern Iran. Zinc and copper serum concentrations were assayed in 25 selected psoriasis patients and compared with sex- and age-matched healthy volunteers. The mean copper level in psoriatic patients was significantly higher than in healthy volunteers (p = 0.003), but no significant difference was observed in the zinc concentration between the two groups (p = 0.57). This study was the first one among Iranian society, and no information have been published in the field yet. The results bring some new information related to Iranian psoriatic patients in contrast to some other studies in different region so that preventive programs could be made in this regard particularly for Iranian population. With respect to the high copper concentration in the Iranian psoriatic population, using copper-chelating agents, such as penicillamine may be suggested for Iranian patients following further comprehensive investigations."
2013,24055188,Synergistic anti-proliferative effect of resveratrol and etoposide on human hepatocellular and colon cancer cell lines.,"Resveratrol is an active component of grape, which has been shown to inhibit proliferation of a wide variety of tumor cells. The ability of resveratrol to enhance anti-proliferative effects of etoposide in wild type p53 liver carcinoma (HepG2) and colon cancer (HCT-116) cells was investigated with focusing on p53 activation. HepG2 cells and HCT-116 cells were treated with resveratrol and/or etoposide in a time- and dose-dependent manner and their proliferative response was evaluated by XTT assay. The expression of p53 protein was assessed using Western blot. Resveratrol exerted anti-proliferative activity on both cell types in a dose (25-100 μM)- and time (24-72 h)-dependent manner. Interestingly in HepG2 cells, resveratrol exhibited the same levels of cytotoxicity as etoposide (10 μM) when the cells treated with ≥ 25 μM for 48-72 h. In contrast to HepG2, resveratrol significantly enhanced anti-proliferative effects of etoposide in HCT-116 cells. P53 expression was up-regulated by resveratrol and etoposide and pre-incubation of both cells with resveratrol increased levels of etoposide-induced p53 expression. In line with cytotoxicity effect, combination therapy showed stronger activation of p53 in HCT-116 compared to HepG2. It seems that resveratrol exerts differential synergistic effect with etoposide on proliferation of cancer cells from different origin which is mainly accompanied by p53 activation. Our data represent a future strategy to provide much safer and more effective treatment for colon cancer."
2017,28797264,Flavonolignans inhibit the arachidonic acid pathway in blood platelets.,"Arachidonic acid metabolism by cyclooxygenase (COX) is a major pathway for blood platelets' activation, which is associated with pro-thrombotic platelet activity and the production of pro-inflammatory mediators. Inhibition of COX activity is one of the major means of anti-platelet pharmacotherapy preventing arterial thrombosis and reducing the incidence of cardiovascular events. Recent studies have presented that a silymarin (standardized extract of Milk thistle (Silybum marianum)) can inhibit the COX pathway. Accordingly, the aim of our study was to determine the effects of three major flavonolignans (silybin, silychristin and silydianin) on COX pathway activity in blood platelets.We determined the effect of flavonolignans on arachidonic acid induced blood platelet aggregation, COX pathway metabolites formation, as well as COX activity in platelets. Additionally, we analysed the potential mechanism of this interaction using the bioinformatic ligand docking method.We observed that tested compounds decrease the platelet aggregation level, both thromboxane A2 and malondialdehyde formation, as well as inhibit the COX activity. The strongest effect was observed for silychristin and silybin. In our in silico study we showed that silychristin and silybin have conformations which interact with the active COX site as competitive inhibitors, blocking the possibility of substrate binding.The results obtained from this study clearly present the potential of flavonolignans as novel antiplatelet and anti-inflammatory agents."
2019,31158334,Notoginsenoside R1 protects human renal proximal tubular epithelial cells from lipopolysaccharide-stimulated inflammatory damage by up-regulation of miR-26a.,"Notoginsenoside R1 (NGR1) is the main saponin isolated from the roots of Panax notoginseng (Burk.) F.H. Chen (Araliaceae). This study explored the protective effects of NGR1 on human renal proximal tubular epithelial cell inflammatory damage caused by lipopolysaccharide (LPS), as well as possible internal molecular mechanisms.Cell viability and apoptosis were assessed using CCK-8 assay and Annexin V-FITC/PI Apoptosis Detection kit, respectively. Reactive oxygen species (ROS) level was tested using DCFH-DA staining. qRT-PCR was used to measure microRNA-26a (miR-26a), interleukin 1β (IL-1β), IL-6 and tumor necrosis factor α (TNF-α) expressions. miRNA transfection was conducted to knock down miR-26a. The protein expression levels of key molecules related to cell apoptosis, inflammatory response and nuclear factor kappa B (NF-κB) pathway were detected using western blotting.LPS stimulation caused human renal proximal tubular epithelial cell viability reduction, apoptosis and inflammatory cytokines expression. NGR1 treatment protected human renal proximal tubular epithelial cells from LPS-caused viability reduction, ROS level elevation, apoptosis and inflammatory cytokines expression. Mechanistically, NGR1 enhanced miR-26a expression in LPS-treated human renal proximal tubular epithelial cells. Knockdown of miR-26a reversed the protective effect of NGR1 on LPS-treated cells. Besides, NGR1 inactivated NF-κB pathway in LPS-treated human renal proximal tubular epithelial cells via up-regulating miR-26a.NGR1 protected human renal proximal tubular epithelial cells from LPS-caused inflammatory damage at least partially via up-regulating miR-26a and then inactivating NF-κB pathway."
2017,28715867,Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.,"Alzheimer's disease (AD) is a grave and prevailing neurodegenerative disease, characterized by slow and progressive neurodegeneration in different brain regions. Aluminum (Al) is a potent and widely distributed neurotoxic metal, implicated in the neuropathogenesis of AD. This study aimed to evaluate the possible neurorestorative potential of Vitis vinifera Leaves Polyphenolic (VLP) extract in alleviating aluminum chloride (AlCl3)-induced neurotoxicity in male rats. AlCl3 neurotoxicity induced a significant decrease in brain/serum acetylcholine (ACh) contents and serum dopamine (DA) levels, along with a significant increment of brain/serum acetylcholinesterase (AChE) activities. In addition, Al treatment resulted in significantly decreased serum levels of both total antioxidant capacity (TAC) and brain-derived neurotrophic factor (BDNF), and significantly increased serum levels of both interleukin-6 (IL-6) and total homocysteine (tHcy), as compared to control. Behavioral alterations, assessed by the T-maze test, showed impaired cognitive function. Furthermore, AD-brains revealed an increase in DNA fragmentation as evidenced by comet assay. AlCl3 induction also caused histopathological alterations in AD-brain. Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay. The current work indicates that the VLP extract has neuroprotective, antioxidative, anti-inflammatory, and anti-amnesic activities against AlCl3-induced cerebral damages and neurocognitive dysfunction."
2013,24292052,Comparison of inhibitory duration of grapefruit juice on organic anion-transporting polypeptide and cytochrome P450 3A4.,"Recently, a new type of interaction has been reported in which fruit juices diminish oral drug bioavailability through inhibition of organic anion-transporting polypeptide (OATP). In this study, we aimed to clarify the duration of OATP inhibition by grapefruit juice (GFJ), and to compare it with the duration of GFJ-induced inhibition of cytochrome P450 (CYP) 3A4 activity. Seven healthy volunteers were enrolled in this open-label, single-sequence study. They were orally administered celiprolol (100 mg) and midazolam (15 µg/kg) with water on the control day. Three days later, they ingested GFJ (200 mL) 3 times a day for 3 d. On day 1, the same drugs were administered with GFJ. On days 3 and 7, the same drugs were administered with water. Pharmacokinetics of both drugs were evaluated on each trial day. The peak plasma concentration (Cmax) and the area under the plasma concentration-time curve from 0 to 8 h (AUC0-8) of celiprolol significantly decreased on day 1, and the mean ratios of these values and the corresponding control-day values were 0.18 and 0.25, respectively. The Cmax and AUC0-8 returned to the control levels on days 3 and 7. In contrast, AUC0-8 of midazolam were higher on days 1 and 3 than on the control day (mean ratio, 2.12 and 1.47, respectively). The AUC0-8 returned to the control level on day 7. In conclusion, results of this study indicated that the OATP inhibition caused by GFJ dissipated faster than GFJ-mediated alterations in CYP3A4 activity, which were sustained for at least 48 h. "
2011,22005428,Effect of citrus polyphenol- and curcumin-supplemented diet on inflammatory state in obese cats.,"Among obesity-associated disorders, low-grade inflammation has been described. The putative therapeutic properties of citrus and curcumin polyphenols could be associated with their anti-inflammatory properties. Two diets supplemented either with hesperidin (0.05 %) and naringin (0.1 %) from citrus extract or with highly bioavailable curcumin from Curcuma longa extract (0.09 %) were fed to eight obese cats for two 8-week periods (cross-over study design) while maintaining animals in an obese state. Plasma acute-phase protein (APP; α1-acid glycoprotein (AGP), serum amyloid A and haptoglobin) levels were assessed before and at the end of each test period. TNF-α, IL-1β, IL-2, IL-4, IL-5, IL-10, IL-12, IL-18, transforming growth factor-β, interferon (IFN)-γ mRNA levels were determined in peripheral blood mononuclear cells (PBMC) by real-time PCR. Compared with pre-study values, supplementation with citrus polyphenols resulted in lower plasma AGP and haptoglobin concentrations, while that with curcumin resulted in lower plasma AGP concentration. There were no differences between the supplementations. TNF-α, IL-1β, IL-4, IL-5, IL-10, IL-12, IL-18, transforming growth factor-β, mRNA levels remained unaffected by either dietary supplementation. In contrast, IFN-γ and IL-2 mRNA levels were lower at the end of the citrus and the curcumin supplementation, respectively. There were no differences between the supplementations. The present study results show a slight effect of citrus and curcumin supplementation on inflammatory markers expressed by PBMC, and a decreased concentration of APP, which are mainly expressed by the liver. This would confirm that hesperidin and naringin or highly bioavailable curcumin extract have beneficial effects, targeted in the liver and could improve the obesity-related inflammatory state."
