	document_idx	title	sentence	sentence_type
14	10	Sulfur mustard induced nuclear translocation of glyceraldehyde-3-phosphate-dehydrogenase (GAPDH).	This finding was confirmed by fractionated WB analysis.	none_sent
15	10	Sulfur mustard induced nuclear translocation of glyceraldehyde-3-phosphate-dehydrogenase (GAPDH).	After exposure to 300μM SM a significant increase of nuclear GAPDH at pI 8.5 occurred.	none_sent
16	11	Bone marrow effects of anagrelide therapy in patients with myelofibrosis with myeloid metaplasia.	Also, Ulex europaeus agglutinin-1 staining of megakaryocytes revealed a left-shifted maturation pattern in most patients with a platelet response to anagrelide.	none_sent
17	12	Long-term feeding of Ginkgo biloba extract impairs peripheral circulation and hepatic function in aged spontaneously hypertensive rats.	Furthermore, significant increases in alanine aminotransferase level in serum and marked increase in CYP2B protein expression in the liver were observed in aged SHR fed GBE.	none_sent
18	12	Long-term feeding of Ginkgo biloba extract impairs peripheral circulation and hepatic function in aged spontaneously hypertensive rats.	Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR.	key_sent
19	13	Influence of the periprostatic adipose tissue in obesity-associated mouse urethral dysfunction and oxidative stress: Effect of resveratrol treatment.	In this study, we evaluated the role of the adipose tissue surrounding the urethra and prostate in obese mice (here referred as periprostatic adipose tissue; PPAT) to the USM dysfunction.	none_sent
20	16	Zinc and copper levels in Iranian patients with psoriasis: a case control study.	 Zinc and copper are important cofactors and modulators of many critical biological functions in many dermatological diseases including psoriasis.	none_sent
21	16	Zinc and copper levels in Iranian patients with psoriasis: a case control study.	Zinc and copper serum concentrations were assayed in 25 selected psoriasis patients and compared with sex- and age-matched healthy volunteers.	none_sent
22	17	Synergistic anti-proliferative effect of resveratrol and etoposide on human hepatocellular and colon cancer cell lines.	P53 expression was up-regulated by resveratrol and etoposide and pre-incubation of both cells with resveratrol increased levels of etoposide-induced p53 expression.	key_sent
23	17	Synergistic anti-proliferative effect of resveratrol and etoposide on human hepatocellular and colon cancer cell lines.	It seems that resveratrol exerts differential synergistic effect with etoposide on proliferation of cancer cells from different origin which is mainly accompanied by p53 activation.	none_sent
24	18	Flavonolignans inhibit the arachidonic acid pathway in blood platelets.	Recent studies have presented that a silymarin (standardized extract of Milk thistle (Silybum marianum)) can inhibit the COX pathway.	key_sent
25	18	Flavonolignans inhibit the arachidonic acid pathway in blood platelets.	RESULTS: We observed that tested compounds decrease the platelet aggregation level, both thromboxane A2 and malondialdehyde formation, as well as inhibit the COX activity.	key_sent
26	18	Flavonolignans inhibit the arachidonic acid pathway in blood platelets.	In our in silico study we showed that silychristin and silybin have conformations which interact with the active COX site as competitive inhibitors, blocking the possibility of substrate binding.	key_sent
27	19	Notoginsenoside R1 protects human renal proximal tubular epithelial cells from lipopolysaccharide-stimulated inflammatory damage by up-regulation of miR-26a.	 Notoginsenoside R1 (NGR1) is the main saponin isolated from the roots of Panax notoginseng (Burk.)	none_sent
28	19	Notoginsenoside R1 protects human renal proximal tubular epithelial cells from lipopolysaccharide-stimulated inflammatory damage by up-regulation of miR-26a.	Mechanistically, NGR1 enhanced miR-26a expression in LPS-treated human renal proximal tubular epithelial cells.	key_sent
29	19	Notoginsenoside R1 protects human renal proximal tubular epithelial cells from lipopolysaccharide-stimulated inflammatory damage by up-regulation of miR-26a.	Besides, NGR1 inactivated NF-κB pathway in LPS-treated human renal proximal tubular epithelial cells via up-regulating miR-26a.NGR1 protected human renal proximal tubular epithelial cells from LPS-caused inflammatory damage at least partially via up-regulating miR-26a and then inactivating NF-κB pathway.	key_sent
30	20	Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.	AlCl3 neurotoxicity induced a significant decrease in brain/serum acetylcholine (ACh) contents and serum dopamine (DA) levels, along with a significant increment of brain/serum acetylcholinesterase (AChE) activities.	key_sent
31	20	Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.	In addition, Al treatment resulted in significantly decreased serum levels of both total antioxidant capacity (TAC) and brain-derived neurotrophic factor (BDNF), and significantly increased serum levels of both interleukin-6 (IL-6) and total homocysteine (tHcy), as compared to control.	key_sent
32	20	Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.	Furthermore, AD-brains revealed an increase in DNA fragmentation as evidenced by comet assay.	none_sent
33	20	Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.	Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.	key_sent
34	20	Therapeutic impact of grape leaves polyphenols on certain biochemical and neurological markers in AlCl3-induced Alzheimer's disease.	The current work indicates that the VLP extract has neuroprotective, antioxidative, anti-inflammatory, and anti-amnesic activities against AlCl	key_sent
35	22	Effect of citrus polyphenol- and curcumin-supplemented diet on inflammatory state in obese cats.	TNF-α, IL-1β, IL-2, IL-4, IL-5, IL-10, IL-12, IL-18, transforming growth factor-β, interferon (IFN)-γ mRNA levels were determined in peripheral blood mononuclear cells (PBMC) by real-time PCR.	none_sent
36	22	Effect of citrus polyphenol- and curcumin-supplemented diet on inflammatory state in obese cats.	TNF-α, IL-1β, IL-4, IL-5, IL-10, IL-12, IL-18, transforming growth factor-β, mRNA levels remained unaffected by either dietary supplementation.	key_sent
37	22	Effect of citrus polyphenol- and curcumin-supplemented diet on inflammatory state in obese cats.	In contrast, IFN-γ and IL-2 mRNA levels were lower at the end of the citrus and the curcumin supplementation, respectively.	key_sent
38	23	Stability of labetalol hydrochloride, metoprolol tartrate, verapamil hydrochloride, and spironolactone with hydrochlorothiazide in extemporaneously compounded oral liquids.	Labetalol hydrochloride 40 mg/mL, metoprolol tartrate 10 mg/mL, verapamil hydrochloride 50 mg/mL, and spironolactone 5 mg/mL plus hydrochlorothiazide 5 mg/ mL were prepared in a 1:1 mixture of Ora-Sweet and Ora-Plus (Paddock Laboratories), a 1:1 mixture of Ora-Sweet SF and Ora-Plus (Paddock Laboratories), and cherry syrup and placed in polyethylene terephthalate bottles.	none_sent
39	23	Stability of labetalol hydrochloride, metoprolol tartrate, verapamil hydrochloride, and spironolactone with hydrochlorothiazide in extemporaneously compounded oral liquids.	Six bottles were prepared per liquid; three were stored at 5 degrees C and three at 25 degrees C, all in the dark.	none_sent
40	24	Protection against UV-light-induced skin carcinogenesis in SKH-1 high-risk mice by sulforaphane-containing broccoli sprout extracts.	Treatment of murine and human keratinocytes with the isothiocyanate sulforaphane elevated phase 2 enzymes and glutathione and protected against oxidant toxicity.	key_sent
41	24	Protection against UV-light-induced skin carcinogenesis in SKH-1 high-risk mice by sulforaphane-containing broccoli sprout extracts.	Sulforaphane inhibited cytokine-dependent (gamma-interferon or lipopolysaccharide) induction of iNOS in RAW 264.7 macrophages.	key_sent
42	24	Protection against UV-light-induced skin carcinogenesis in SKH-1 high-risk mice by sulforaphane-containing broccoli sprout extracts.	At this time point, the tumor incidence had reached 100% in the control mice.	none_sent
43	25	Pro-ulcer effects of resveratrol in mice with indomethacin-induced gastric ulcers are reversed by L-arginine.	The mRNA for cyclooxygenase (COX)-1, but not that for COX-2, was inhibited by resveratrol treatment, with reduced synthesis of PGE(2) by gastric tissue.	key_sent
44	25	Pro-ulcer effects of resveratrol in mice with indomethacin-induced gastric ulcers are reversed by L-arginine.	However, resveratrol treatment induced eNOS gene expression and shifted the eNOS/iNOS balance.	key_sent
45	27	Fermented wheat aleurone inhibits growth and induces apoptosis in human HT29 colon adenocarcinoma cells.	In conclusion, fermentation of wheat aleurone results in a reduced level of tumour-promoting DCA, but higher levels of potentially chemopreventive SCFA.	key_sent
46	28	A pilot study on neopterin levels and tryptophan degradation in zinc-exposed galvanization workers.	Zinc oxide nanoaerosol fume rising from hot metal bath surface in nano dimensions contains the greatest risk for workers in galvanization process.	none_sent
47	29	The capacity of foodstuffs to induce innate immune activation of human monocytes in vitro is dependent on food content of stimulants of Toll-like receptors 2 and 4.	In a screen of forty filter-sterilised soluble extracts from common foodstuffs, seven were found to induce the secretion of TNF-α and IL-6 from human monocytes in vitro.	none_sent
48	29	The capacity of foodstuffs to induce innate immune activation of human monocytes in vitro is dependent on food content of stimulants of Toll-like receptors 2 and 4.	To investigate what may differentiate inflammatory from non-inflammatory food extracts, stimulants of Toll-like receptor (TLR) 2 and TLR4 were quantified using human embryonic kidney-293 cells transfected with each TLR, and calibrated with defined bacterial lipopeptide (BLP) and lipopolysaccharide (LPS) standards.	none_sent
49	31	Preparation of tyrosinase inhibitors and antibrowning agents using green technology.	More important, this study developed a new type of 1,5-dione derivative which may serve as new lead st	none_sent
50	33	Anti-angiogenic effect of Tanshinone IIA involves inhibition of matrix invasion and modification of MMP-2/TIMP-2 secretion in vascular endothelial cells.	The mRNA expressions of matrix metalloproteinase-2, -3, -9, -14 (MMP-2, -3, -9, -14), tissue inhibitor of metalloproteinase-2 (TIMP-2) and reversion-inducing cysteine-rich protein with kazal motifs (RECK) were not affected by Tan IIA as analyzed by reverse transcription polymerase chain reaction (RT-PCR).	none_sent
51	33	Anti-angiogenic effect of Tanshinone IIA involves inhibition of matrix invasion and modification of MMP-2/TIMP-2 secretion in vascular endothelial cells.	Results from western blot analysis and ELISA further demonstrated the dose-dependent decrease of MMP-2 and increase of TIMP-2 secretion from cytosol of vascular endothelial cells simultaneously after Tan IIA treatment.	none_sent
52	34	Pharmacodynamic interaction of Momordica charantia with rosiglitazone in rats.	The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.	key_sent
53	34	Pharmacodynamic interaction of Momordica charantia with rosiglitazone in rats.	MC also augmented the hypoglycaemic effect of rosiglitazone in both STZ induced diabetes in adult animals and STZ induced diabetes in neonatal rats.	key_sent
54	34	Pharmacodynamic interaction of Momordica charantia with rosiglitazone in rats.	It was concluded that MC augments hypoglycaemic effect of rosiglitazone.	key_sent
55	34	Pharmacodynamic interaction of Momordica charantia with rosiglitazone in rats.	This could be important in reducing the dose of rosiglitazone to achieve enhanced therapeutic effect with minimal adverse effe	none_sent
56	35	Effects of Different Zinc Species on Cellar Zinc Distribution, Cell Cycle, Apoptosis and Viability in MDAMB231 Cells.	Element provided by different species can influence the availability and distribution of the element in a cell and could lead to different biological effects on the cell's growth and function.	none_sent
57	35	Effects of Different Zinc Species on Cellar Zinc Distribution, Cell Cycle, Apoptosis and Viability in MDAMB231 Cells.	Zinc homeostasis in cells, which is regulated by metallothioneins, zinc transporter/SLC30A, Zrt-/Irt-like proteins/SLC39A and metal-response element-binding transcription factor-1 (MTF-1), is crucial for normal cellular functioning.	none_sent
58	37	Enzymatic oxidation of 2-phenylethylamine to phenylacetic acid and 2-phenylethanol with special reference to the metabolism of its intermediate phenylacetaldehyde.	The results indicated that phenylacetaldehyde is metabolised mainly to phenylacetic acid with lower concentrations of 2-phenylethanol by all three oxidising enzymes.	none_sent
59	38	Effect of cefodizime on parameters of cell-mediated immunity in vitro.	However, no conclusions can be drawn on the clinical relevance of these findings until the results of in vivo investigations are availa	none_sent
60	41	Volatile attractants for the common bluebottle, Graphium sarpedon nipponum, from the host, Cinnamomum camphora.	The volatiles were analyzed by capillary gas chromatography with electro-antennographic detection (GC-EAD).	none_sent
61	44	An open-label, single-center, phase IV clinical study of the effectiveness of zinc gluconate glycine lozenges (Cold-Eeze) in reducing the duration and symptoms of the common cold in school-aged subjects.	The objective of this prospective, intent-to-treat, phase IV study was to determine the therapeutic and prophylactic effectiveness of zinc gluconate glycine lozenges (Cold-Eeze) for the common cold.	none_sent
62	44	An open-label, single-center, phase IV clinical study of the effectiveness of zinc gluconate glycine lozenges (Cold-Eeze) in reducing the duration and symptoms of the common cold in school-aged subjects.	The mean number of colds was 1.28 +/- 1.03 with zinc lozenge prophylaxis versus 1.7 +/- 1.91 without prophylaxis (P &lt; 0.05), a 25% reduction.	none_sent
63	44	An open-label, single-center, phase IV clinical study of the effectiveness of zinc gluconate glycine lozenges (Cold-Eeze) in reducing the duration and symptoms of the common cold in school-aged subjects.	There was no antibiotic use for any cold, and there were no adverse events reported.	none_sent
64	46	Resveratrol suppresses the myofibroblastic phenotype and fibrosis formation in kidneys via proliferation-related signalling pathways.	The anti-fibrotic effects of resveratrol correlated with inhibited proliferation of TECs in the interstitium and tubules, resulting in suppressed activity of the proliferation-related signalling pathways, including that of the MAPK, PI3K/Akt, Wnt/β-catenin, and JAK2/STAT3 pathways.	key_sent
65	46	Resveratrol suppresses the myofibroblastic phenotype and fibrosis formation in kidneys via proliferation-related signalling pathways.	Resveratrol treatment suppressed TGF-β1-induced FMD and the expression of the myofibroblastic phenotype in fibroblasts in vitro by antagonizing the activation of proliferation-related signalling.	key_sent
66	46	Resveratrol suppresses the myofibroblastic phenotype and fibrosis formation in kidneys via proliferation-related signalling pathways.	Similarly, TGF-β1-mediated overactivation of the proliferation-related signalling in TECs induced EMT and the myofibroblastic phenotype was suppressed by resveratrol.	key_sent
67	48	Antithrombotic therapy for stroke prevention in atrial fibrillation and mechanical heart valves.	Vitamin K antagonists (e.g., warfarin) are effective for the prevention of cardioembolic stroke in patients with atrial fibrillation (AF) and in those with mechanical heart valves but because of their inherent limitations are underutilized and often suboptimally managed.	key_sent
68	49	Biochemical activities of extracts from Hypericum perforatum L. 5th communication: dopamine-beta-hydroxylase-product quantification by HPLC and inhibition by hypericins and flavonoids.	Lack of catecholamine neurotransmitters may be one biochemical mechanism for this problem under discussion.	none_sent
69	51	Protective effects of thymoquinone against methotrexate-induced testicular injury.	Methotrexate is a folic acid antagonist widely used in clinic.	none_sent
70	51	Protective effects of thymoquinone against methotrexate-induced testicular injury.	Aim of this study was to investigate the possible protective role of thymoquinone on testicular toxicity of methotrexate.	none_sent
71	51	Protective effects of thymoquinone against methotrexate-induced testicular injury.	Equivalent volumes of saline were injected intraperitoneally (i.p.)	none_sent
72	51	Protective effects of thymoquinone against methotrexate-induced testicular injury.	We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag	key_sent
73	53	Antibacterial and Antibiotic-Potentiating Activities of Thirteen Cameroonian Edible Plants against Gram-Negative Resistant Phenotypes.	However, some extracts were significantly active against certain bacterial strains: seeds extract of Theobroma cacao (64?μg/mL) against Escherichia coli AG100Atet and Klebsiella pneumoniae K24, and the bark extract of Uapaca guineensis against E. coli ATCC 8739.	none_sent
74	53	Antibacterial and Antibiotic-Potentiating Activities of Thirteen Cameroonian Edible Plants against Gram-Negative Resistant Phenotypes.	Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria.	key_sent
75	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	 The study aimed to investigate the effect of oral zinc supplementation on antioxidant defenses and oxidative stress markers during chemotherapy for colorectal cancer.	none_sent
76	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	The supplementation was started in the perioperative period, in which 10 patients received 70?mg of zinc (zinc group, n?=?10) and 14 patients received placebo (placebo group, n?=?14) for 16?weeks.	supporting_sent
77	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	Approximately 45?days after surgical resection of tumor, all patients received a chemotherapeutic regimen (capecitabine, capecitabine combined with oxaliplatin or 5-fluorouracil).	supporting_sent
78	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.	key_sent
79	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	There were no statistical differences between the study groups in vitamin C, vitamin E, MDA, or 8-isoprostane plasma values.	none_sent
80	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	Zinc supplementation during chemotherapy cycles increased SOD activity and maintained vitamin E concentrations.	key_sent
81	55	Effect of Zinc Supplementation on Antioxidant Defenses and Oxidative Stress Markers in Patients Undergoing Chemotherapy for Colorectal Cancer: a Placebo-Controlled, Prospective Randomized Trial.	Although no effect of zinc supplementation on oxidative stress markers was observed, the increase in SOD activity indicates a production of stable free radicals, which may have a positive effect in cancer treatm	none_sent
82	58	The anti-inflammatory potential of phenolic compounds in grape juice concentrate (G8000™) on 2,4,6-trinitrobenzene sulphonic acid-induced colitis.	Chronic inflammatory bowel disease is characterised by an up-regulation of the synthesis and release of a variety of pro-inflammatory mediators leading to excessive tissue injury.	none_sent
83	58	The anti-inflammatory potential of phenolic compounds in grape juice concentrate (G8000™) on 2,4,6-trinitrobenzene sulphonic acid-induced colitis.	The 1% grape juice-treated induced colitis group showed marked clinical improvement when compared with the TNBS-induced colitis group.	key_sent
84	58	The anti-inflammatory potential of phenolic compounds in grape juice concentrate (G8000™) on 2,4,6-trinitrobenzene sulphonic acid-induced colitis.	Statistically significant differences (P,0·05) of TNF-a and inducible NO synthase mRNA expression were detected in the groups treated with grape juice at the 1% dose after inducing experimental colitis when compared with the TNBS group.	key_sent
85	58	The anti-inflammatory potential of phenolic compounds in grape juice concentrate (G8000™) on 2,4,6-trinitrobenzene sulphonic acid-induced colitis.	Grape juice reduced the noxious effects induced by colitis caused by TNBS, especially at the 1% dose.	key_sent
86	59	Homocysteine and arteriosclerosis: established risk factor or new illusion 	The treatment of hyperhomocysteinemia varies with underlying cause; generally, vitamin supplementation (with folic acid and vitamins B6 and B12) is effective in reducing homocysteine concentrations.	none_sent
87	60	The influence of vitamin B group on monooxygenase activity of cytochrome P450 3A4: pharmacokinetics and electro analysis of catalytic properties.	It was shown that vitamin B group permit to shorten the longitude of diclofenak therapy and to reduce the daytime dose of this drug.	key_sent
88	60	The influence of vitamin B group on monooxygenase activity of cytochrome P450 3A4: pharmacokinetics and electro analysis of catalytic properties.	In the case of diclofenak treatment without vitamins Cmax corresponds to 1137.2 +/- 82.4 ng/ml, with 2 tablets of Gitagamp--Cmax 1326.7 +/- 122.5 ng/ml, and with 4 tablets--Cmax 2200.4 +/- 111.3 ng/ml.	none_sent
89	60	The influence of vitamin B group on monooxygenase activity of cytochrome P450 3A4: pharmacokinetics and electro analysis of catalytic properties.	Electrochemical analysis reviled the influence of vitamin B group on metabolism of non steroid anti inflammation drug diclofenac catalyzed by cytochrome P450 3A4.	key_sent
90	60	The influence of vitamin B group on monooxygenase activity of cytochrome P450 3A4: pharmacokinetics and electro analysis of catalytic properties.	Riboflavin was the most effective inhibitor of diclofenac hydroxylation by cytochrome P450 3A4 as was compared at 300 M concentration of vitamin B group (B1, B2, B6).	key_sent
91	62	Steviol glycosides targeted analysis in leaves of Stevia rebaudiana (Bertoni) from plants cultivated under chilling stress conditions.	Stimulation of chilling stress with a pre-treatment with endogenous signalling components and in particular with salicylic acid (SA), hydrogen peroxide (H2O2), 6-benzylaminopurine (BAP) and calcium chloride (CaCl2) could induce tolerance to chilling and could constitute a suitable way to maintain quality and quantity of steviol glycosides under controlled artificial environment.	none_sent
92	64	Recombinant human GM-CSF significantly enhances the cytostatic activity of cell cycle specific anti-leukaemic drugs in HL-60 human myeloid leukaemia clonogenic cells in a capillary clonogenic micro-assay.	The ED90 concentrations which are the concentrations of hydroxyurea and cytarabine inducing a 90% maximum inhibition of colony formation and colony growth on day 7 in HL-60 cells were calculated from the logarithmic regression analysis of each dose response curve using the cricket graph version 1.3 program on an Apple Macintosh computer.	none_sent
93	65	Protective effects of Rosavin on bleomycin-induced pulmonary fibrosis via suppressing fibrotic and inflammatory signaling pathways in mice.	 Idiopathic Pulmonary fibrosis (IPF) is diagnosed as a life-threatening, progressive and incurable lung disease characterized by accumulation of extracellular matrix and myofibroblasts, resulting in the function degradation and structural alterations in normal lung parenchyma.	none_sent
94	65	Protective effects of Rosavin on bleomycin-induced pulmonary fibrosis via suppressing fibrotic and inflammatory signaling pathways in mice.	The results indicated that Rosavin could significantly ameliorate the lung index and Pathological structure of mice with Pulmonary fibrosis by bleomycin-induced.	key_sent
95	65	Protective effects of Rosavin on bleomycin-induced pulmonary fibrosis via suppressing fibrotic and inflammatory signaling pathways in mice.	Additionally, Rosavin could evidently decreased inflammatory cells infiltration in bronchoalveolar lavage fluid and pro-inflammatory cytokines expression in lung tissue specimens induced by bleomycin.	key_sent
96	65	Protective effects of Rosavin on bleomycin-induced pulmonary fibrosis via suppressing fibrotic and inflammatory signaling pathways in mice.	Rosavin could down-regulate the expression of hydroxyproline and malondialdehyde and increased the activities of superoxide dismutase, glutathione peroxidase in lung tissue.	key_sent
97	65	Protective effects of Rosavin on bleomycin-induced pulmonary fibrosis via suppressing fibrotic and inflammatory signaling pathways in mice.	The expression of Nrf2 were increased, and the expression of NF-κB p65, TGF-β1 and α-SMA were inhibited.	key_sent
98	66	Antifungal activity and inhibition of fumonisin production by Rosmarinus officinalis L. essential oil in Fusarium verticillioides (Sacc.) Nirenberg.	Nirenberg was reduced significantly by 150 μg/mL of REO.	none_sent
99	66	Antifungal activity and inhibition of fumonisin production by Rosmarinus officinalis L. essential oil in Fusarium verticillioides (Sacc.) Nirenberg.	The results suggested that the REO acts against F. verticillioides by disrupting the cell wall and causing the loss of cellular components, subsequently inhi	none_sent
100	68	Protective effect of edible marine algae, Laminaria japonica and Porphyra haitanensis, on subchronic toxicity in rats induced by inorganic arsenic.	 Arsenic, a potent environmental toxic agent, causes various hazardous effects on human health.	none_sent
101	68	Protective effect of edible marine algae, Laminaria japonica and Porphyra haitanensis, on subchronic toxicity in rats induced by inorganic arsenic.	The increase in the contents of total cholesterol, triglyceride, and low density lipoprotein cholesterol, and decrease in the contents of high density lipoprotein cholesterol were observed in algae co-treated groups which indicated that marine algae could reverse the abnormal lipid metabolisms induced by arsenic.	none_sent
102	68	Protective effect of edible marine algae, Laminaria japonica and Porphyra haitanensis, on subchronic toxicity in rats induced by inorganic arsenic.	Therefore, evidences indicate that L. japonica and P. haitanensis can serve as an effective regimen for treating arsenic poison	key_sent
103	69	Enhancement of neovascularization with cord blood CD133+ cell-derived endothelial progenitor cell transplantation.	The endothelial progenitor cells (EPCs) are responsible for postnatal vasculogenesis in physiological and pathological neovascularization and have been used for attenuating ischemic diseases.	none_sent
104	73	Comparison of the effects of sodium bicarbonate jet prophylaxis on blood pressure in normotensive individuals and patients with controlled hypertension: a controlled clinical trial.	Blood pressure measurements were conducted at 4 timepoints: prior to the dental prophylaxis (T0), immediately after treatment (Ti), 15 minutes after treatment (T15), and 30 minutes after treatment (T30).	none_sent
105	74	History of medicine and nephrology in Asia.	Shen Tua (1031-1095 AD) compiled a pharmacopeia and studied acupuncture and the pulses.	none_sent
106	77	Unfiltered xenon light is useful for photodynamic therapy with acridine orange.	We have clarified that photodynamic therapy (PDT) with acridine orange (AO) exerts a rapid and strong cytocidal effect on mouse osteosarcomas, both in vitro and in vivo, and have sought to apply this therapy to patients with musculoskeletal sarcomas, in order to reduce the surgical margin and obtain better limb function after tumor resection in limb salvage surgery.	none_sent
107	77	Unfiltered xenon light is useful for photodynamic therapy with acridine orange.	Some clinical studies have reported that the local recurrence rate after limb salvage surgery in patients receiving PDT therapy was less than 10% and that the limb functions recovered to nearly normal in these patients.	none_sent
108	77	Unfiltered xenon light is useful for photodynamic therapy with acridine orange.	However, unfiltered light with 10 times the illuminance of blue light yielded a much stronger cytocidal effect, which was deduced not to be due to DNA injury by ultra-violet light or heat generation by ultra-red light, since a xenon lamp emits little of either light.	none_sent
109	78	Protective Capacity of Resveratrol, a Natural Polyphenolic Compound, against Deoxynivalenol-Induced Intestinal Barrier Dysfunction and Bacterial Translocation.	Contamination of food/feedstuffs by mycotoxins is a serious problem worldwide, causing severe economic losses and serious health problems in animals/humans.	none_sent
