	evidence_level	document_idx	title	sentences
2986	in-vitro	355	Effects of panduratin A isolated from Kaempferia pandurata ROXB. on the expression of matrix metalloproteinase-9 by porphyromonas gingivalis supernatant-induced KB cells.	['Periodontitis is initiated by accumulation of microbial plaque and activation of gingival inflammation through overexpression of matrix metalloproteinases (MMPs), leading to tissue destruction.', 'Natural MMP inhibitors may be developed as therapeutic agents against periodontitis.', 'In this study, panduratin A, a natural bioactive compound isolated from Kaempferia pandurata ROXB., was used to test its in vitro inhibitory activity against MMP-9 secretion from Porphyromonas gingivalis supernatant-induced human oral epidermoid carcinoma KB cells.', 'Gelatin zymography, Western blot and RT-PCR analyses were performed to evaluate MMP-9 expression.', 'The gelatin zymograms revealed that the main gelatinase secreted by P. gingivalis supernatant-induced KB cells migrated at 92 kDa, representing MMP-9.', 'MMP-9 protein and mRNA levels were significantly decreased after panduratin A treatment (p<0.05).', 'In contrast, panduratin A had no effect on tissue inhibitor of metalloproteinases (TIMP)-1 and TIMP-2 mRNA.', 'Panduratin A also suppressed urokinase type plasminogen activator (uPA) mRNA expression.', 'These results suggest that panduratin A could potentially prevent periodontal inflammation by decreasing the levels of MMP-9 protein and m']
12762	in-vitro	1517	Epigallocatechin suppression of proliferation of vascular smooth muscle cells: correlation with c-jun and JNK.	['The mechanisms of the antiproliferative effect of epigallocatechin, one of the catechin derivatives found in green tea, in vascular smooth muscle cells were studied.', 'The proliferative response was determined from the uptake of tritiated thymidine.', 'In the concentration range of 10(-6) to 10(-4) M, catechin, epicatechin, epigallocatechin, epicatechin gallate and epigallocatechin, epigallocatechin gallate, concentration-dependently inhibited the proliferative response stimulated by serum in rabbit cultured vascular smooth muscle cells.', 'Catechin and epicatechin were less effective in inhibiting the serum-stimulated smooth muscle cell proliferation, indicating that the galloyl group may be important for full inhibitory activity.', 'Epigallocatechin (EGC) inhibited the proliferative responses in different cells including rat aortic smooth muscle cells (A7r5 cells), rabbit cultured aortic smooth muscle cells, human coronary artery smooth muscle cells, and human CEM lymphocytes in a concentration-dependent manner.', 'The possible mechanisms of the antiproliferative effect of EGC were further studied in A7r5 cells.', 'The membranous protein tyrosine kinase activity stimulated by serum in A7r5 cells was significantly reduced by 10(-5) M EGC.', 'In contrast, the cytosolic protein kinase C activity stimulated by phorbol ester was unaffected by directly incubating with EGC (10(-6)-10(-4) M).', 'We also performed Western blot analysis using the anti-phosphotyrosine monoclonal antibody PY20.', 'EGC (10(-5) M) reduced the levels of tyrosine phosphorylated proteins with different molecular weights, indicating that EGC may inhibit the protein tyrosine kinase activity or stimulate the protein phosphatase activity.', 'Reverse transcription-polymerase chain reaction analysis of c-fos, c-jun and c-myc mRNA levels demonstrated that c-jun mRNA level after serum-stimulation was significantly reduced by 10(-5) M EGC.', 'However, the reduction of c-fos and c-myc mRNA levels by 10(-5) M EGC did not achieve significance.', 'Western blot analysis using the antibody against JNK (c-jun N-terminal kinase) and ERK (extracellular signal-regulated kinase) demonstrated that the level of phosphorylated JNK1, but not phosphorylated ERK1 and ERK2, was reduced by 10(-5) M EGC.', 'Direct measurement of kinase activity by immune complex kinase assay confirmed that JNK1 activity was inhibited by EGC treatment.', 'These results demonstrate that EGC preferentially reduced the activation of JNK/SAPK (stress-activated protein kinase) signal transduction pathway.', 'It is suggested that the antiproliferative effect of epigallocatechin on vascular smooth muscle cells may partly be mediated through inhibition of protein tyrosine kinase activity, reducing c-jun mRNA expression and inhibiting JNK1 activation.', 'Tea catechins may be useful as a template for the development of drugs to prevent the pathological changes of atherosclerosis and post-angioplasty restenosis.']
5309	animal in-vivo	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	['Cisplatin is a highly effective chemotherapeutic drug used to treat a wide variety of solid tumors.', 'However, its use was limited due its dose-limiting toxicity to the kidney.', 'Currently, there are no therapies available to treat or prevent cisplatin nephrotoxicity.', 'Honey is a naturally occurring complex liquid and widely used in traditional Ayurvedic medicine to treat many illnesses.', 'However, its effect on cisplatin nephrotoxicity is unknown.', 'To determine the role of honey in cisplatin nephrotoxicity, animals were pretreated orally for a week and then cisplatin was administered.', 'Honey feeding was continued for another 3 days.', 'Our results show that animals with cisplatin-induced kidney dysfunction, as determined by increased serum creatinine, which received honey feeding had less kidney dysfunction.', 'Improved kidney function was associated with better preservation of kidney morphology in honey-treated group as compared to the cisplatin alone-treated group.', 'Interestingly, honey feeding significantly reduced cisplatin-induced tubular epithelial cell death, immune infiltration into the kidney as well as cytokine and chemokine expression and excretion as compared to cisplatin treated animals.', 'Western blot analysis shows that cisplatin-induced increase in phosphorylation of NFkB was completely suppressed with honey feeding.', 'In conclusion, honey feeding protects the kidney against cisplatin nephrotoxicity through suppression']
7747	others	911	Drug interactions with herbal medicines.	"['In recent years, the issue of herbal medicine-drug interactions has generated significant concern.', 'Such interactions can increase the risk for an individual patient, especially with regard to drugs with a narrow therapeutic index (for example warfarin, ciclosporin and digoxin).', 'The present article summarizes herbal medicine-drug interactions involving mainly inhibition or induction of cytochrome P450 enzymes and/or drug transporters.', 'An increasing number of in vitro and animal studies, case reports and clinical trials evaluating such interactions have been reported, and the majority of the interactions may be difficult to predict.', ""Potential pharmacodynamic and/or pharmacokinetic interactions of commonly used herbal medicines (black cohosh, garlic, Ginkgo, goldenseal, kava, milk thistle, Panax ginseng, Panax quinquefolius, saw palmetto and St John's wort) with conventional drugs are presented, and sometimes the results are contradictory."", 'Clinical implications of herbal medicine-drug interactions depend on a variety of factors, such as the co-administered drugs, the patient characteristics, the origin of the herbal medicines, the composition of their constituents and the applied dosage regimens.', 'To optimize the use of herbal medicines, further controlled studies are urgently needed to explore their potential for interactions with conventional drugs and to delineate the underlying mechani']"
12141	in-vitro	1441	alpha- and gamma-mangostin cause shape changes, inhibit aggregation and induce cytolysis of rat platelets.	"[""alpha- and gamma-mangostin are natural xanthones isolated from mangosteen (Garcinia mangostana) and the major constituents responsible for the plant's diverse biological activities."", 'In this study, the effects of alpha- and gamma-mangostin on platelets were investigated based on their possible antiplatelet activity.', 'Treatment of isolated platelets with alpha-mangostin resulted in attenuation of platelet aggregatory response to collagen, thrombin or ADP.', 'Such antiaggregatory effects were concentration-dependent in ranges of 1-10 microM.', 'Interestingly, alpha-mangostin alone induced shape changes in platelets at the same concentration, and higher levels, 25 and 50 microM caused platelet lysis.', 'Similarly, gamma-mangostin induced shape changes and inhibited aggregation at 2.5-25 microM, while 50 and 100 microM gamma-mangostin exhibited cytotoxicity.', 'Platelet shape change induced by alpha- and gamma-mangostin was accompanied by increases in myosin light chain (MLC) phosphorylation.', 'MLC phosphorylation and subsequent shape changes were prevented by pretreatment with Rho kinase (ROCK) inhibitor Y-27632, but not by the intracellular Ca(2+) chelating with BAPTA-AM and extracellular Ca(2+) removal.', 'Cytolysis by both alpha- and gamma-mangostin was abolished in the absence of extracellular Ca(2+).', 'Taken together, alpha- and gamma-mangostin have differential effects on platelets depending on their concentration, which includes inducing shape change, inhibiting aggregation and causing cytolysis.', 'Platelet shape change is attributed to stimulation of the Rho/ROCK signaling pathway, while platelet lysis is presumably mediated by extracellular Ca(2+) influx.', 'These results suggest that mangosteen consumption may have potential platelet effects, although th']"
5541	others	656	Botanical origin, colour, granulation, and sensory properties of the Harenna forest honey, Bale, Ethiopia.	['In this study, the Harenna forest honey samples were investigated with respect to their botanical origin, granulation, colour and sensory properties.', 'Sixteen honey samples were collected from two representative sites (Chiri, C, and Wabero, W) using random sampling techniques.', 'Botanical origin was investigated using qualitative pollen analysis by counting 500 pollen grains using harmonised methods of melissopalynology.', 'Granulation, colour, and sensory properties of honey were determined by visual observation, using Pfund grader, acceptability and preference tests, respectively.', 'Honey samples were also tested for tetracycline.', 'Honey obtained from Wabero is originated dominantly from Syzygium guineense while Chiri was multifloral.', 'The colour of honey ranged from 34 to 85 with light amber and extra light amber colours.', 'The honey samples were free from tetracycline residue and form coarse granules slowly.', 'Significant variation (p>0.05) in sensory preference and acceptability']
17955	in-vitro	2163	Identification and mechanism evaluation of a novel osteogenesis promoting peptide from Tubulin Alpha-1C chain in Crassostrea gigas.	['Marine shellfish provides a series of biofunctionality account of its high-protein level.', 'In this study, the osteogenic effect of a novel peptide, YRGDVVPK, from Crassostrea gigas protein hydrolysates on preosteoblast MC3T3-E1 proliferation was examined.', 'Synthetic peptide with 100 nM significantly promoted the proliferation of MC3T3-E1 cells for a treatment of 72 h assayed by MTT method, and which was confirmed by the increase of alkaline phosphatase (ALP) activity.', 'The peptide, YRGDVVPK, was docked with integrin alpha5beta1 (PDB ID: 3VI4), which is a surface receptor of MC3T3-E1.', 'The interaction of the peptide with integrin alpha5beta1 (PDB ID: 3VI4) was analyzed by the molecular modeling algorithm of CDOCKER, which showed a more stable combination than the original ligand.', 'The results suggested the novel peptide could promote the preosteoblast MC3T3-E1 proliferation probably by activating the signaling pathway of MAPK, whic']
7771	in-vitro	914	Interleukin-11 promotes accessory cell-dependent B-cell differentiation in humans.	['Interleukin-11 (IL-11) is a recently described stromal-derived cytokine that supports the growth of an IL-6-dependent murine plasmacytoma line in the presence of antibody to IL-6 and appears to act in a manner similar to IL-6 on hematopoietic stem cells.', 'Because IL-6 is known to promote differentiation of normal human B cells, the role of IL-11 on B-cell differentiation in vitro was characterized.', 'IL-11 does not result in significantly increased DNA synthesis or Ig secretion by purified B cells alone or B cells cultured with Staphylococcus Cowan I, a T-cell-independent B-cell mitogen.', 'In contrast, purified B cells cultured in the presence of pokeweed mitogen (PWM), irradiated T cells, and monocytes show increased DNA synthesis at day 3 and increased IgG and IgM secretion at day 7 of culture; addition of IL-11 further augments Ig secretion without change in DNA synthesis, an effect that can only be partially blocked by monoclonal antibody to IL-6.', 'Similar experiments confirmed that increased IgG secretion was demonstrable when either IL-11 or IL-6 was added to B cells + CD4+/45RA- T cells + monocytes + PWM; in contrast, Ig secretion was low and equivalent when CD4+/45RA+ T cells were cultured with B cells+monocytes+PWM with or without IL-6 or IL-11.', 'Neither IL-6 nor IL-11 could significantly increase phytohemagglutinin (PHA)-induced DNA synthesis by CD4+/45RA- or CD4+/45RA+ T cells.', 'Although PWM or IL-11 induced IL-6 mRNA expression in both CD4+/45RA- T cells and monocytes, in neither cell did IL-11 increase IL-6 mRNA expression over that noted to PWM alone.', 'These observations support the view that IL-11 promotes differentiation of human B lymphocytes only in the presence of accessory T cells and monocytes and that a minor component of this effect may be through stimulation of IL-6 production by CD4+/45RA- T cells and monocytes.']
10389	animal in-vivo	1229	Antidiabetic and antioxidant activity of Terminalia belerica. Roxb.	['Effect of continuous administration of dried 75% methanolic extract of fruits of Terminalia belerica (Combretaceae) suspended in water was studied in alloxan induced hyperglycemia and antioxidant defense mechanism in rats.', 'T. belerica prevented alloxan-induced hyperglycaemia significantly from 6th day of administration and there was 54% reduction on 12th day.', 'Oxidative stress produced by alloxan was found to be significantly lowered by the administration of T. belerica extract.', 'This was evident from a significant decrease in thiobarbituric acid reactive substances, conjugated dienes and hydroperoxides in blood and liver respectively.', 'Similarly, decreased glutathione level produced by alloxan was increased by the administration of the extract in blood and liver.', 'However the increase was not significant.', 'Superoxide dismutase which was decreased by alloxan was significantly increased from 9th day in blood and liver of drug treated group.', 'Similarly there was significant increase in the activity of catalase in blood and liver.', 'Decrease in glutathione peroxidase by alloxan administration was found to be increased significantly in the blood and liver from 9th day by extract treatment.', 'Glutathione reductase also was found to be increased in blood and liver.', 'These results suggested that T. belerica fruit extract possessed anti-diabetic and anti-oxidant activity and these activities may be interrela']
956	in-vitro	109	Simultaneous determination of glucose, fructose, sucrose and sorbitol in the leaf and fruit peel of different apple cultivars by the HPLC-RI optimized method.	['A high performance liquid chromatography method with refractive index detection (HPLC-RI), for simultaneous determination of glucose, fructose, sucrose and sorbitol in leaf and/or apple peel samples from nine apple (Malus domestica Borkh.)', 'cultivars and rootstocks, originating from a germplasm collection, has been developed and validated.', 'Box-Behnken design of response surface methodology was applied for the method optimization.', 'The Carbosep Coregel 87H3 column was used under the optimum conditions predicted: mobile phase of H2SO4 0.005 mol L(-1) solution, flow rate of 0.3 mL min(-1) and column temperature of 35°C.', 'The method was validated for linearity (R(2)>0.99), limits of detection (2.67-4.83 microg mL(-1)) and quantification (8.9-16.1 microg mL(-1)), precision (%RSD<5.05) and recovery (93.94-103.06%) and satisfactory results obtained.', 'The sugars content varied across micropropagated plants in vitro, plants regenerated after']
